,Address,Baths,Beds,Bike Room,Building Class,Built Year,Cats Only - No Dogs,Cats and Dogs Allowed,Children's Playroom,City,Cold Storage,Community Recreation Facilities,Concierge,Crime,Deck,Doorman,Elevator,Full-time Doorman,Garage Parking,Garden,Green Building,Gym,Hot Tub,Interiors,Land Lease,Laundry in Building,Live-in Super,Media Room,NYC Storm Zone 1,NYC Storm Zone 2,NYC Storm Zone 3,NYC Storm Zone 4,NYC Storm Zone 5,NYC Storm Zone 6,Package Room,Parking Available,Part-time Doorman,Patio,Pets Allowed,Police,Price,Roof Deck,School District,SchoolScore,Smoke-free,Sqft,Storage Available,Stories,Swimming Pool,Units,Valet,Valet Parking,Virtual Doorman,Waterfront,Zipcode,latitude,longitude,std_crime,age,age_sq,Stories_sq,Stories_cubed,travel_minutes,travel_km,central_park_border_km,washington_sq_km,tompkins_sq_km,travel_minutes_grand_central,travel_km_grand_central,Borough,Sqft_sq
2916,427 West 154th Street #4,1.0,2.0,,C4,1985.0,,,, New York,,,,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,Police Precinct 30,650000.0,,District 6,-0.8226,,856.0,,5.0,,10.0,,,,,10032.0,40.830779,-73.942601,-0.986333478951,31.0,961.0,25.0,125.0,24.45,19.017,3.61117354154,12.0279464585,12.0514320033,24.62,13.734,Manhattan,732736.0
2917,428 Greenwich Street ,3.5,4.0,False,S2,1915.0,,,False, New York,False,False,False,1389.0,False,,,,False,False,False,False,False,,,False,False,False,True,False,False,False,False,False,False,False,,False,,Police Precinct 1,15500000.0,False,District 2,1.7612,False,7440.0,False,5.0,False,2.0,False,False,False,False,10013.0,40.7224202,-74.0099292,0.0132639981433,101.0,10201.0,25.0,125.0,8.88,3.443,5.59934754584,1.40131994305,2.4199831503,22.47,5.411,Manhattan,55353600.0
2918,428 Prospect Place #1,1.0,2.0,True,C6,1920.0,True,False,False, Brooklyn,False,False,False,1586.0,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 77,835000.0,False,District 17,-0.5765,False,780.0,False,4.0,False,8.0,False,False,False,False,11238.0,40.6759709,-73.962242,0.342562832571,96.0,9216.0,16.0,64.0,21.62,7.35,9.86870610075,6.78844393572,5.84047185723,31.78,14.25,Brooklyn,608400.0
2919,428 Vanderbilt Avenue #1,4.0,8.0,False,B3,1931.0,,,False, Brooklyn,False,False,False,1096.0,False,,,,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,,False,,Police Precinct 88,2599999.0,False,District 13,0.1126,False,3360.0,False,3.0,False,2.0,False,False,False,False,11238.0,40.684661,-73.9684769,-0.476505334279,85.0,7225.0,9.0,27.0,17.62,6.335,8.86970708213,5.69014478617,4.77154031256,27.8,13.234,Brooklyn,11289600.0
2920,429 Bertram Avenue ,3.5,4.0,False,A1,1997.0,,,False, Staten Island,False,False,False,381.0,False,,,,False,False,False,False,False,,,False,False,False,False,False,False,False,True,False,False,False,,False,,Police Precinct 123,1600000.0,False,District 31,0.6221,False,3878.0,False,2.0,False,1.0,False,False,False,False,10312.0,40.524775,-74.174885,-1.67167623081,19.0,361.0,4.0,8.0,42.07,40.235,31.5910257725,27.3627063163,27.7195790835,53.27,48.329,Staten Island,15038884.0
2921,429 Greenwich Street #9B,4.0,4.0,False,RM,1920.0,False,True,False, New York,False,False,False,1389.0,False,False,True,True,False,False,False,False,False,,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,Police Precinct 1,8995000.0,False,District 2,1.7612,False,4000.0,True,9.0,False,28.0,False,False,False,False,10013.0,40.7223595,-74.009431,0.0132639981433,96.0,9216.0,81.0,729.0,8.88,3.442,5.5841400783,1.37494214688,2.37989014981,22.47,5.41,Manhattan,16000000.0
2922,429 Kent Avenue #209,2.0,2.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1295000.0,True,District 14,0.2728,False,1059.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,1121481.0
2923,429 Kent Avenue #210,2.0,2.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1415000.0,True,District 14,0.2728,False,1176.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,1382976.0
2924,429 Kent Avenue #231,1.5,1.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1135000.0,True,District 14,0.2728,False,905.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,819025.0
2925,429 Kent Avenue #304,1.5,1.0,False,,2015.0,False,False,True, Brooklyn,False,True,True,1693.0,False,True,True,False,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,Police Precinct 90,1485000.0,True,District 14,0.2728,False,1174.0,True,8.0,True,216.0,False,False,False,False,11211.0,40.7096014,-73.9682173,0.521420575128,1.0,1.0,64.0,512.0,19.75,7.983,6.10539711632,3.42581292056,2.19095732115,22.12,7.933,Brooklyn,1378276.0
