,Address,Baths,Beds,Bike Room,Building Class,Built Year,Cats Only - No Dogs,Cats and Dogs Allowed,Children's Playroom,City,Cold Storage,Community Recreation Facilities,Concierge,Crime,Deck,Doorman,Elevator,Full-time Doorman,Garage Parking,Garden,Green Building,Gym,Hot Tub,Interiors,Land Lease,Laundry in Building,Live-in Super,Media Room,NYC Storm Zone 1,NYC Storm Zone 2,NYC Storm Zone 3,NYC Storm Zone 4,NYC Storm Zone 5,NYC Storm Zone 6,Package Room,Parking Available,Part-time Doorman,Patio,Pets Allowed,Police,Price,Roof Deck,School District,SchoolScore,Smoke-free,Sqft,Storage Available,Stories,Swimming Pool,Units,Valet,Valet Parking,Virtual Doorman,Waterfront,Zipcode,latitude,longitude,std_crime,age,age_sq,Stories_sq,Stories_cubed,travel_minutes,travel_km,central_park_border_km,washington_sq_km,tompkins_sq_km,travel_minutes_grand_central,travel_km_grand_central,Borough,Sqft_sq
881,49 Bond Street #3FL,3.0,2.0,,L8,1920,,,, New York,,,,1375,,,,,,,,,,,,,,,,,,,,,,,,,,Police Precinct 9,29500,,District 2,1.7612,,3500.0,,4,,2,,,,,10012,40.7257993,-73.9929148,-0.010137949481,96,9216,16,64,13.77,3.126,4.6086409931,0.687419034995,0.943899799961,13.82,3.577,Manhattan,12250000.0
883,419 Broome Street #3FL,2.5,3.0,False,RM,1920,,,False, New York,False,False,False,950,False,,,,False,False,False,False,False,,,False,False,False,False,False,False,False,True,False,False,False,,False,,Police Precinct 5,35000,False,District 2,1.7612,False,4399.0,False,6,False,4,False,False,False,False,10013,40.7210569,-73.9988113,-0.720554216647,96,9216,36,216,12.85,3.132,5.28740680134,1.09353842466,1.55794800301,18.68,4.063,Manhattan,19351201.0
889,65 Reade Street #2A,1.0,2.0,False,C7,1915,,,False, New York,False,False,False,1389,False,,,,False,False,False,False,False,,,False,False,False,False,False,False,False,True,False,False,False,,False,,Police Precinct 1,7995,False,District 2,1.7612,False,1900.0,False,5,False,8,False,False,False,False,10007,40.714986,-74.0067034,0.0132639981433,101,10201,25,125,9.73,3.171,6.18494816205,1.9234003778,2.45958766227,21.95,5.607,Manhattan,3610000.0
890,31 Crosby Street #23-24,1.0,3.0,False,C7,1900,,,False, New York,False,False,False,950,False,,,,False,False,False,False,False,,,False,False,False,False,False,False,False,True,False,False,False,,False,,Police Precinct 5,4995,False,District 2,1.7612,False,1200.0,False,7,False,12,False,False,False,False,10013,40.7207458,-73.9993443,-0.720554216647,116,13456,49,343,13.2,3.174,5.33748122966,1.13291501531,1.61283650436,18.73,4.104,Manhattan,1440000.0
891,293 Lafayette Street #PH4,5.0,4.0,False,,1885,False,False,False, New York,False,False,True,950,False,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 5,85000,False,District 2,1.7612,False,6000.0,False,9,False,6,False,False,False,False,10012,40.724474,-73.9956783,-0.720554216647,131,17161,81,729,14.13,3.194,4.83342117353,0.727591619121,1.19458003131,14.98,3.501,Manhattan,36000000.0
892,52 Thomas Street #2B,2.0,3.0,True,RM,1915,False,True,False, New York,True,False,False,1389,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Police Precinct 1,12000,True,District 2,1.7612,False,1736.0,True,7,False,20,False,False,False,False,10013,40.716567,-74.0070435,0.0132639981433,101,10201,49,343,9.48,3.2,6.04311576165,1.77659592562,2.39922574462,22.87,5.739,Manhattan,3013696.0
893,52 Thomas Street #PHD,2.5,3.0,True,RM,1915,False,True,False, New York,True,False,False,1389,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Police Precinct 1,27500,True,District 2,1.7612,False,2500.0,True,7,False,20,False,False,False,False,10013,40.716567,-74.0070435,0.0132639981433,101,10201,49,343,9.48,3.2,6.04311576165,1.77659592562,2.39922574462,22.87,5.739,Manhattan,6250000.0
894,535 Broadway #5,1.0,4.0,False,L8,1900,,,False, New York,False,False,False,1389,False,,,,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True,False,False,,False,,Police Precinct 1,7595,False,District 2,1.7612,False,2400.0,False,5,False,4,False,False,False,False,10012,40.7233584,-73.9988986,0.0132639981433,116,13456,25,125,12.78,3.206,5.05869678596,0.840356472981,1.48635676807,17.73,3.968,Manhattan,5760000.0
895,250 East Houston Street #3G,1.0,1.0,False,D6,1989,,,False, New York,False,False,False,1375,False,,,,False,False,False,False,False,,,False,False,False,False,False,False,False,True,False,False,False,,False,,Police Precinct 9,3000,False,District 2,1.7612,False,651.0,False,13,False,130,False,False,False,False,10002,40.7220749,-73.984837,-0.010137949481,27,729,169,2197,11.33,3.209,4.81036420086,1.45409373558,0.547707119341,17.0,4.355,Manhattan,423801.0
898,57 Reade Street #19B,2.0,2.0,True,RM,2010,False,False,False, New York,True,False,False,1389,True,True,True,False,False,False,False,True,False,,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,Police Precinct 1,8500,False,District 2,1.7612,False,1294.0,True,20,False,83,False,False,False,False,10007,40.714633,-74.006301,0.0132639981433,6,36,400,8000,10.03,3.221,6.20434371385,1.94629755204,2.4512468043,22.25,5.656,Manhattan,1674436.0
899,57 Reade Street #9A,2.0,2.0,True,RM,2010,False,False,False, New York,True,False,False,1389,True,True,True,False,False,False,False,True,False,,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,Police Precinct 1,7700,False,District 2,1.7612,False,1232.0,True,20,False,83,False,False,False,False,10007,40.714633,-74.006301,0.0132639981433,6,36,400,8000,10.03,3.221,6.20434371385,1.94629755204,2.4512468043,22.25,5.656,Manhattan,1517824.0
903,229 Chrystie Street #501,1.0,1.0,False,RM,2003,False,False,False, New York,False,False,False,950,False,True,True,False,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,Police Precinct 5,4604,True,District 2,1.7612,False,800.0,False,14,False,361,False,False,False,False,10002,40.7235027,-73.9918932,-0.720554216647,13,169,196,2744,12.67,3.229,4.81793674546,0.948712526784,0.914430649221,17.68,4.363,Manhattan,640000.0
904,229 Chrystie Street #PH3,2.0,2.0,False,RM,2003,False,False,False, New York,False,False,False,950,False,True,True,False,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,Police Precinct 5,6300,True,District 2,1.7612,False,1100.0,False,14,False,361,False,False,False,False,10002,40.7235027,-73.9918932,-0.720554216647,13,169,196,2744,12.67,3.229,4.81793674546,0.948712526784,0.914430649221,17.68,4.363,Manhattan,1210000.0
911,285 Lafayette Street #2B,3.5,4.0,False,RM,1900,False,True,False, New York,False,False,True,950,False,False,True,True,False,False,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 5,32500,True,District 2,1.7612,False,4060.0,True,9,False,30,False,False,False,False,10012,40.724079,-73.9957278,-0.720554216647,116,13456,81,729,14.62,3.241,4.87538852658,0.769543426918,1.20737955774,15.47,3.549,Manhattan,16483600.0
912,285 Lafayette Street #PHA,3.5,4.0,False,RM,1900,False,True,False, New York,False,False,True,950,False,False,True,True,False,False,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 5,35000,True,District 2,1.7612,False,2890.0,True,9,False,30,False,False,False,False,10012,40.724079,-73.9957278,-0.720554216647,116,13456,81,729,14.62,3.241,4.87538852658,0.769543426918,1.20737955774,15.47,3.549,Manhattan,8352100.0
913,285 Lafayette Street 2B-FURNISHED,3.5,4.0,False,RM,1900,False,True,False, New York,False,False,True,950,False,False,True,True,False,False,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 5,43000,True,District 2,1.7612,False,4060.0,True,9,False,30,False,False,False,False,10012,40.724079,-73.9957278,-0.720554216647,116,13456,81,729,14.62,3.241,4.87538852658,0.769543426918,1.20737955774,15.47,3.549,Manhattan,16483600.0
916,325 Lafayette Street #3L,2.0,2.0,False,D0,1900,False,True,False, New York,False,False,False,1375,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 9,11800,True,District 2,1.7612,False,2000.0,False,7,False,6,False,False,False,False,10012,40.7254036,-73.9948736,-0.010137949481,116,13456,49,343,14.25,3.261,4.71178035239,0.648299298214,1.11261040711,14.25,3.378,Manhattan,4000000.0
921,405 Greenwich Street #3,2.5,3.0,False,RM,1900,,,False, New York,False,False,False,1389,False,,,,False,False,False,False,False,,,False,False,False,False,True,False,False,False,False,False,False,,False,,Police Precinct 1,15000,False,District 2,1.7612,False,2200.0,False,6,False,4,False,False,False,False,10013,40.7210499,-74.0096501,0.0132639981433,116,13456,36,216,8.6,3.304,5.71941118681,1.49116623125,2.42964438624,21.95,11.672,Manhattan,4840000.0
922,561 Broadway #10B,1.0,,False,O9,1904,False,True,False, New York,False,False,False,1389,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Police Precinct 1,8500,False,District 2,1.7612,False,1800.0,False,12,False,14,False,False,False,False,10012,40.7241434,-73.9982575,0.0132639981433,112,12544,144,1728,13.22,3.308,4.95670189796,0.748051788492,1.41553275291,18.22,4.069,Manhattan,3240000.0
926,240 Mulberry Street #9,1.0,2.0,,C7,1901,,,, New York,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,,Police Precinct 5,4000,,District 2,1.7612,,500.0,,6,,21,,,,,10012,40.7227932,-73.9957159,-0.720554216647,115,13225,36,216,14.88,3.333,5.00664694556,0.90993301587,1.24502242093,16.38,3.713,Manhattan,250000.0
928,240 Mulberry Street #15,1.0,,,C7,1901,,,, New York,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,,Police Precinct 5,3800,,District 2,1.7612,,500.0,,6,,21,,,,,10012,40.7227932,-73.9957159,-0.720554216647,115,13225,36,216,14.88,3.333,5.00664694556,0.90993301587,1.24502242093,16.38,3.713,Manhattan,250000.0
